tool_id,tool_name,tool_category,interface,primary_user_segment,version_capture,pricing_capture,eligibility_status,notes
cursor,"Cursor","agentic IDE","desktop IDE","professional developers","Capture exact app version, model mode, and settings screenshot at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
claude-code,"Claude Code","terminal coding agent","CLI","developers comfortable with terminal workflows","Capture CLI version, model, allowed tools, and permission mode at run time.","Capture selected subscription or API billing basis at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
github-copilot,"GitHub Copilot","IDE assistant","IDE extension or agent mode","developers already working inside IDEs","Capture extension version, IDE version, model, and agent mode at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
lovable,"Lovable","AI app builder","web app","founders and non-traditional builders","Capture workspace mode, plan, model if exposed, and export state at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
bolt-new,"Bolt.new","AI app builder","web app","rapid prototype builders","Capture project runtime, model if exposed, and export state at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
vercel-v0,"Vercel v0","UI and app builder","web app","frontend and product teams","Capture generation mode, model if exposed, export state, and deployment target at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
windsurf,"Windsurf","agentic IDE","desktop IDE","developers using IDE-native agents","Capture exact app version, model mode, and settings screenshot at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
replit-agent,"Replit Agent","cloud coding agent","web IDE","cloud workspace builders","Capture workspace runtime, agent mode, and model if exposed at run time.","Capture selected plan and public pricing page snapshot at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
cline,"Cline","open-source IDE agent","VS Code extension","developers who choose their own model provider","Capture extension version, model provider, model, and tool permissions at run time.","Capture model provider cost basis and extension pricing if applicable at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
aider,"Aider","open-source CLI agent","CLI","developers who prefer Git-native terminal workflows","Capture package version, model provider, model, and command flags at run time.","Capture model provider cost basis at run time.","candidate","Candidate only; no 2026 score exists until audited runs are published."
